Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,2013/1/1 0:00,2013,1,1,0,129,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 1:00,2013,1,1,1,135,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 2:00,2013,1,1,2,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 3:00,2013,1,1,3,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 4:00,2013,1,1,4,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 5:00,2013,1,1,5,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 6:00,2013,1,1,6,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 7:00,2013,1,1,7,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 8:00,2013,1,1,8,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 9:00,2013,1,1,9,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 10:00,2013,1,1,10,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 11:00,2013,1,1,11,-999,电/m超1 Hr,Missing,
Chengdu,PM2.5,2013/1/1 12:00,2013,1,1,12,189,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 13:00,2013,1,1,13,132,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 14:00,2013,1,1,14,100,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 15:00,2013,1,1,15,101,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 16:00,2013,1,1,16,91,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 17:00,2013,1,1,17,95,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 18:00,2013,1,1,18,115,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 19:00,2013,1,1,19,129,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 20:00,2013,1,1,20,138,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 21:00,2013,1,1,21,159,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 22:00,2013,1,1,22,163,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/1 23:00,2013,1,1,23,155,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 0:00,2013,1,2,0,170,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 1:00,2013,1,2,1,193,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 2:00,2013,1,2,2,202,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 3:00,2013,1,2,3,167,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 4:00,2013,1,2,4,148,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 5:00,2013,1,2,5,144,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 6:00,2013,1,2,6,139,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 7:00,2013,1,2,7,180,电/m超1 Hr,Valid,
Chengdu,PM2.5,2013/1/2 8:00,2013,1,2,8,153,电/m超1 Hr,Valid,
