Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013/1/1 0:00,2013,1,1,0,70,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 1:00,2013,1,1,1,76,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 2:00,2013,1,1,2,72,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 3:00,2013,1,1,3,78,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 4:00,2013,1,1,4,77,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 5:00,2013,1,1,5,78,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 6:00,2013,1,1,6,77,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 7:00,2013,1,1,7,80,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 8:00,2013,1,1,8,76,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 9:00,2013,1,1,9,74,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 10:00,2013,1,1,10,76,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 11:00,2013,1,1,11,66,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 12:00,2013,1,1,12,58,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 13:00,2013,1,1,13,50,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 14:00,2013,1,1,14,48,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 15:00,2013,1,1,15,49,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 16:00,2013,1,1,16,54,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 17:00,2013,1,1,17,61,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 18:00,2013,1,1,18,60,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 19:00,2013,1,1,19,101,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 20:00,2013,1,1,20,118,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 21:00,2013,1,1,21,125,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 22:00,2013,1,1,22,136,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/1 23:00,2013,1,1,23,114,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 0:00,2013,1,2,0,91,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 1:00,2013,1,2,1,99,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 2:00,2013,1,2,2,89,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 3:00,2013,1,2,3,80,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 4:00,2013,1,2,4,81,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 5:00,2013,1,2,5,81,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 6:00,2013,1,2,6,90,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 7:00,2013,1,2,7,78,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 8:00,2013,1,2,8,92,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 9:00,2013,1,2,9,112,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 10:00,2013,1,2,10,97,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 11:00,2013,1,2,11,67,电/m超1 Hr,Valid,
Shanghai,PM2.5,2013/1/2 12:00,2013,1,2,12,45,电/m超1 Hr,Valid,
