Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,2013/1/1 0:00,2013,1,1,0,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 1:00,2013,1,1,1,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 2:00,2013,1,1,2,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 3:00,2013,1,1,3,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 4:00,2013,1,1,4,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 5:00,2013,1,1,5,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 6:00,2013,1,1,6,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 7:00,2013,1,1,7,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 8:00,2013,1,1,8,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 9:00,2013,1,1,9,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 10:00,2013,1,1,10,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 11:00,2013,1,1,11,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 12:00,2013,1,1,12,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 13:00,2013,1,1,13,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 14:00,2013,1,1,14,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 15:00,2013,1,1,15,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 16:00,2013,1,1,16,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 17:00,2013,1,1,17,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 18:00,2013,1,1,18,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 19:00,2013,1,1,19,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 20:00,2013,1,1,20,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 21:00,2013,1,1,21,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 22:00,2013,1,1,22,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/1 23:00,2013,1,1,23,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 0:00,2013,1,2,0,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 1:00,2013,1,2,1,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 2:00,2013,1,2,2,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 3:00,2013,1,2,3,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 4:00,2013,1,2,4,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 5:00,2013,1,2,5,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 6:00,2013,1,2,6,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 7:00,2013,1,2,7,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 8:00,2013,1,2,8,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 9:00,2013,1,2,9,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 10:00,2013,1,2,10,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 11:00,2013,1,2,11,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 12:00,2013,1,2,12,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 13:00,2013,1,2,13,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 14:00,2013,1,2,14,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 15:00,2013,1,2,15,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 16:00,2013,1,2,16,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 17:00,2013,1,2,17,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 18:00,2013,1,2,18,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 19:00,2013,1,2,19,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 20:00,2013,1,2,20,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 21:00,2013,1,2,21,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 22:00,2013,1,2,22,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/2 23:00,2013,1,2,23,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 0:00,2013,1,3,0,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 1:00,2013,1,3,1,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 2:00,2013,1,3,2,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 3:00,2013,1,3,3,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 4:00,2013,1,3,4,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 5:00,2013,1,3,5,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 6:00,2013,1,3,6,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 7:00,2013,1,3,7,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 8:00,2013,1,3,8,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 9:00,2013,1,3,9,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 10:00,2013,1,3,10,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 11:00,2013,1,3,11,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 12:00,2013,1,3,12,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 13:00,2013,1,3,13,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 14:00,2013,1,3,14,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 15:00,2013,1,3,15,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 16:00,2013,1,3,16,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 17:00,2013,1,3,17,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 18:00,2013,1,3,18,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 19:00,2013,1,3,19,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 20:00,2013,1,3,20,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 21:00,2013,1,3,21,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 22:00,2013,1,3,22,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/3 23:00,2013,1,3,23,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 0:00,2013,1,4,0,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 1:00,2013,1,4,1,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 2:00,2013,1,4,2,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 3:00,2013,1,4,3,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 4:00,2013,1,4,4,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 5:00,2013,1,4,5,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 6:00,2013,1,4,6,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 7:00,2013,1,4,7,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 8:00,2013,1,4,8,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 9:00,2013,1,4,9,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 10:00,2013,1,4,10,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 11:00,2013,1,4,11,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 12:00,2013,1,4,12,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 13:00,2013,1,4,13,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 14:00,2013,1,4,14,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 15:00,2013,1,4,15,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 16:00,2013,1,4,16,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 17:00,2013,1,4,17,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 18:00,2013,1,4,18,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 19:00,2013,1,4,19,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 20:00,2013,1,4,20,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 21:00,2013,1,4,21,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 22:00,2013,1,4,22,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/4 23:00,2013,1,4,23,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 0:00,2013,1,5,0,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 1:00,2013,1,5,1,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 2:00,2013,1,5,2,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 3:00,2013,1,5,3,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 4:00,2013,1,5,4,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 5:00,2013,1,5,5,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 6:00,2013,1,5,6,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 7:00,2013,1,5,7,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 8:00,2013,1,5,8,-999,电/m超1 Hr,Missing,
Shenyang,PM2.5,2013/1/5 9:00,2013,1,5,9,-999,电/m超1 Hr,Missing,
